Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TCP,nice_tcp_request,5633,0,3700.0,3868.7813248961156,619.3522494286299,13773.970749229193,12278.316882655778,28.053110446578458,0.0,3700,4600,5100,5300,6300,7500,9700,12000,13000,14000,14000
,Aggregated,5633,0,3700.0,3868.7813248961156,619.3522494286299,13773.970749229193,12278.316882655778,28.053110446578458,0.0,3700,4600,5100,5300,6300,7500,9700,12000,13000,14000,14000
